sc_cip,sc_cip_revised,field_name_1,osp_cip,field_name_2,mapping,manual,Note,have_data
5134,51.34,Alternative and Complementary Medical Support Services.,51.34,Medicine,1,,,yes
5135,51.35,Somatic Bodywork and Related Therapeutic Services.,51.35,Medicine,1,,,yes
5136,51.36,Movement and Mind-Body Therapies and Education.,51.36,Medicine,1,,,yes
5137,51.37,Energy and Biologically Based Therapies.,51.37,Medicine,1,,,yes
5138,51.38,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",51.38,Nursing,1,,,yes
5139,51.39,"Practical Nursing, Vocational Nursing and Nursing Assistants.",51.39,Nursing,1,,,yes
5199,51.99,"Health Professions and Related Clinical Sciences, Other.",51.99,Medicine,1,,,yes
5201,52.01,"Business/Commerce, General.",52.01,Business,1,,,yes
5202,52.02,"Business Administration, Management and Operations.",52.02,Business,1,,,yes
5203,52.03,Accounting and Related Services.,52.03,Accounting,1,,,yes
5204,52.04,Business Operations Support and Assistant Services.,52.04,Business,1,,,yes
5205,52.05,Business/Corporate Communications.,52.05,Business,1,,,yes
5206,52.06,Business/Managerial Economics.,52.06,Business,1,,,yes
5207,52.07,Entrepreneurial and Small Business Operations.,52.07,Business,1,,,yes
5208,52.08,Finance and Financial Management Services.,52.08,Business,1,,,yes
5209,52.09,Hospitality Administration/Management.,52.09,Business,1,,,yes
5210,52.1,Human Resources Management and Services.,52.1,Business,1,,,yes
5211,52.11,International Business.,52.11,Business,1,,,yes
5212,52.12,Management Information Systems and Services.,52.12,Business,1,,,yes
5213,52.13,Management Sciences and Quantitative Methods.,52.13,Business,1,,,yes
5214,52.14,Marketing.,52.14,Marketing,1,,,yes
5215,52.15,Real Estate.,52.15,Business,1,,,yes
5216,52.16,Taxation.,52.16,Business,1,,,yes
5217,52.17,Insurance.,52.17,Business,1,,,yes
5218,52.18,"General Sales, Merchandising and Related Marketing Operations.",52.18,Business,1,,,yes
5219,52.19,"Specialized Sales, Merchandising and  Marketing Operations.",52.19,Business,1,,,yes
5220,52.2,Construction Management.,52.2,Business,1,,,yes
5221,52.21,Telecommunications Management.,52.21,Business,1,,,no
5299,52.99,"Business, Management, Marketing, and Related Support Services, Other.",52.99,Business,1,,,yes
5301,53.01,High School/Secondary Diploma Programs.,53,Basic Skills,2,,,yes
5302,53.02,High School/Secondary Certificate Programs.,53,Basic Skills,2,,,no
5401,54.01,History.,54,History,2,,,yes
6001,60.01,Dental Residency Programs.,,,0,,,yes
6002,60.02,Medical Residency Programs.,,,0,,,no
6003,60.03,Veterinary Residency Programs.,,,0,,,no
6004,60.04,Medical Residency Programs - General Certificates.,,,0,,,yes
6005,60.05,Medical Residency Programs - Subspecialty Certificates.,,,0,,,no
6108,61.08,Internal Medicine Residency/Fellowship Programs.,,,0,,,no
6115,61.15,Orthopedic Surgery Residency/Fellowship Programs.,,,0,,,no
6124,61.24,Psychiatry Residency/Fellowship Programs.,,,0,,,no
6126,61.26,Radiology Residency/Fellowship Programs.,,,0,,,yes
,,,28,Military Science,0,,,yes
,,,28.04,Military Science,0,,,yes
