sc_cip,sc_cip_revised,field_name_1,osp_cip,field_name_2,mapping,manual,Note,have_data
3701,37.01,Personal Awareness and Self-Improvement.,,,0,,,yes
3800,38,"Philosophy and Religious Studies, General.",,,0,,,yes
3801,38.01,Philosophy.,38.01,Philosophy,1,,,yes
3802,38.02,Religion/Religious Studies.,38.02,Religion,1,,,yes
3899,38.99,"Philosophy and Religious Studies, Other.",,,0,,,yes
3902,39.02,Bible/Biblical Studies.,39,Theology,2,,,yes
3903,39.03,Missions/Missionary Studies and Missiology.,39,Theology,2,,,yes
3904,39.04,Religious Education.,39,Theology,2,,,yes
3905,39.05,Religious/Sacred Music.,39,Theology,2,,,yes
3906,39.06,Theological and Ministerial Studies.,39,Theology,2,,,yes
3907,39.07,Pastoral Counseling and Specialized Ministries.,39,Theology,2,,,yes
3999,39.99,"Theology and Religious Vocations, Other.",39,Theology,2,,,yes
4001,40.01,Physical Sciences.,,,0,,,yes
4002,40.02,Astronomy and Astrophysics.,40.02,Astronomy,1,,,yes
4004,40.04,Atmospheric Sciences and Meteorology.,40.04,Atmospheric Sciences,1,,,yes
4005,40.05,Chemistry.,40.05,Chemistry,1,,,yes
4006,40.06,Geological and Earth Sciences/Geosciences.,40.06,Earth Sciences,1,,,yes
4008,40.08,Physics.,40.08,Physics,1,,,yes
4010,40.1,Materials Sciences.,,,0,,,yes
4099,40.99,"Physical Sciences, Other.",,,0,,,yes
4100,41,"Science Technologies/Technicians, General.",,,0,,,yes
4101,41.01,Biology Technician/Biotechnology Laboratory Technician.,,,0,,,yes
4102,41.02,Nuclear and Industrial Radiologic Technologies/Technicians.,,,0,,,yes
4103,41.03,Physical Science Technologies/Technicians.,,,0,,,yes
4199,41.99,"Science Technologies/Technicians, Other.",,,0,,,yes
4201,42.01,"Psychology, General.",42,Psychology,2,,,yes
4202,42.02,Clinical Psychology.,42,Psychology,2,,,no
4203,42.03,Cognitive Psychology and Psycholinguistics.,42,Psychology,2,,,no
4204,42.04,Community Psychology.,42,Psychology,2,,,no
4207,42.07,Developmental and Child Psychology.,42,Psychology,2,,,no
4216,42.16,Social Psychology.,42,Psychology,2,,,no
4227,42.27,Research and Experimental Psychology.,42,Psychology,2,,,yes
4228,42.28,"Clinical, Counseling and Applied Psychology.",42,Psychology,2,,,yes
4299,42.99,"Psychology, Other.",42,Psychology,2,,,yes
